date,confidence
2014/6/1,100.8266
2014/7/1,101.3401
2014/8/1,101.5695
2014/9/1,101.519
2014/10/1,101.3143
2014/11/1,101.0449
2014/12/1,100.8875
2015/1/1,100.745
2015/2/1,100.5584
2015/3/1,100.5987
2015/4/1,100.7642
2015/5/1,100.8119
2015/6/1,100.7711
2015/7/1,100.8264
2015/8/1,101.0721
2015/9/1,101.0954
2015/10/1,100.9472
2015/11/1,100.6997
2015/12/1,100.2187
2016/1/1,99.74146
2016/2/1,99.61919
2016/3/1,100.1083
2016/4/1,100.5741
2016/5/1,100.7324
2016/6/1,100.7759
2016/7/1,100.9818
2016/8/1,101.1833
2016/9/1,101.3348
2016/10/1,101.3083
2016/11/1,101.1779
2016/12/1,101.134
2017/1/1,101.1368
2017/2/1,100.8423
2017/3/1,100.5455
2017/4/1,100.4919
2017/5/1,100.8037
2017/6/1,101.1276
2017/7/1,101.0183
2017/8/1,101.05
2017/9/1,101.2879
2017/10/1,101.6582
2017/11/1,102.0011
2017/12/1,101.772
2018/1/1,101.3826
2018/2/1,101.163
2018/3/1,101.3501
2018/4/1,101.6229
2006/9/1,101.8251
2006/10/1,101.8167
2006/11/1,101.7774
2006/12/1,101.7579
2007/1/1,101.7391
2007/2/1,101.8137
2007/3/1,101.9541
2007/4/1,102.0555
2007/5/1,102.018
2007/6/1,101.8667
2007/7/1,101.6858
2007/8/1,101.5035
2007/9/1,101.325
2007/10/1,101.2117
2007/11/1,101.1486
2007/12/1,101.099
2008/1/1,101.0076
2008/2/1,100.8659
2008/3/1,100.6995
2008/4/1,100.5618
2008/5/1,100.5233
2008/6/1,100.4099
2008/7/1,100.211
2008/8/1,99.95638
2008/9/1,99.54672
2008/10/1,98.88528
2008/11/1,98.05817
2008/12/1,97.31219
2009/1/1,96.78903
2009/2/1,96.42897
2009/3/1,96.30182
2009/4/1,96.52363
2009/5/1,96.86658
2009/6/1,97.17265
2009/7/1,97.48367
2009/8/1,97.79426
2009/9/1,98.06606
2009/10/1,98.37525
2009/11/1,98.72942
2009/12/1,99.0983
2010/1/1,99.44392
2010/2/1,99.69153
2010/3/1,99.85606
2010/4/1,100.0201
2010/5/1,100.2068
2010/6/1,100.3674
2010/7/1,100.5194
2010/8/1,100.6005
2010/9/1,100.6859
2010/10/1,100.8783
2010/11/1,101.1336
2010/12/1,101.3787
2011/1/1,101.4932
2011/2/1,101.4636
2011/3/1,101.3868
2011/4/1,101.2486
2011/5/1,101.0445
2011/6/1,100.8
2011/7/1,100.5082
2011/8/1,100.1822
2011/9/1,99.83618
2011/10/1,99.66489
2011/11/1,99.60126
2011/12/1,99.5102
2012/1/1,99.44009
2012/2/1,99.34544
2012/3/1,99.18651
2012/4/1,98.90574
2012/5/1,98.631
2012/6/1,98.55733
2012/7/1,98.48277
2012/8/1,98.42873
2012/9/1,98.4043
2012/10/1,98.43076
2012/11/1,98.56584
2012/12/1,98.68533
2013/1/1,98.71733
2013/2/1,98.74456
2013/3/1,98.75059
2013/4/1,98.74043
2013/5/1,98.83798
2013/6/1,99.07448
2013/7/1,99.36482
2013/8/1,99.65536
2013/9/1,99.9726
2013/10/1,100.2102
2013/11/1,100.4408
2013/12/1,100.5636
2014/1/1,100.6062
2014/2/1,100.6596
2014/3/1,100.7186
2014/4/1,100.7458
2014/5/1,100.7018
2014/6/1,100.621
2014/7/1,100.4939
2014/8/1,100.317
2014/9/1,100.2508
2014/10/1,100.2633
2014/11/1,100.2856
2014/12/1,100.3025
2015/1/1,100.3597
2015/2/1,100.503
2015/3/1,100.7061
2015/4/1,100.8306
2015/5/1,100.8667
2015/6/1,100.8535
2015/7/1,100.8274
2015/8/1,100.8209
2015/9/1,100.8889
2015/10/1,100.952
2015/11/1,100.9061
2015/12/1,100.8113
2016/1/1,100.7003
2016/2/1,100.6147
2016/3/1,100.5974
2016/4/1,100.6305
2016/5/1,100.667
2016/6/1,100.687
2016/7/1,100.6755
2016/8/1,100.6176
2016/9/1,100.598
2016/10/1,100.6234
2016/11/1,100.6558
2016/12/1,100.7652
2017/1/1,100.9198
2017/2/1,101.0683
2017/3/1,101.178
2017/4/1,101.2489
2017/5/1,101.2781
2017/6/1,101.3213
2017/7/1,101.4202
2017/8/1,101.5734
2017/9/1,101.7266
2017/10/1,101.8261
2017/11/1,101.8582
2017/12/1,101.8528
2018/1/1,101.8223
2018/2/1,101.7663
2018/3/1,101.6439
2018/4/1,101.5173
2006/9/1,102.5747
2006/10/1,102.6316
2006/11/1,102.6859
2006/12/1,102.8412
2007/1/1,103.0452
2007/2/1,103.3366
2007/3/1,103.6257
2007/4/1,103.7121
2007/5/1,103.6299
2007/6/1,103.2977
2007/7/1,102.9263
2007/8/1,102.6239
2007/9/1,102.3191
2007/10/1,102.1247
2007/11/1,102.164
2007/12/1,102.1923
2008/1/1,101.9448
2008/2/1,101.3241
2008/3/1,100.8338
2008/4/1,100.5757
2008/5/1,100.3375
2008/6/1,99.83598
2008/7/1,99.31048
2008/8/1,98.75676
2008/9/1,98.09673
2008/10/1,97.14465
2008/11/1,95.95788
2008/12/1,95.17051
2009/1/1,94.82978
2009/2/1,94.56503
2009/3/1,94.40766
2009/4/1,94.46844
2009/5/1,94.5845
2009/6/1,94.78434
2009/7/1,95.26451
2009/8/1,95.78778
2009/9/1,96.36263
2009/10/1,96.92098
2009/11/1,97.53196
2009/12/1,98.26101
2010/1/1,98.86816
2010/2/1,99.37783
2010/3/1,99.7964
2010/4/1,100.2365
2010/5/1,100.5292
2010/6/1,100.4957
2010/7/1,100.3806
2010/8/1,100.4066
2010/9/1,100.5031
2010/10/1,100.7744
2010/11/1,101.203
2010/12/1,101.5322
2011/1/1,101.7194
2011/2/1,101.8232
2011/3/1,101.8469
2011/4/1,101.5885
2011/5/1,101.189
2011/6/1,100.5872
2011/7/1,99.74838
2011/8/1,99.00389
2011/9/1,98.65259
2011/10/1,98.62311
2011/11/1,98.63956
2011/12/1,98.63763
2012/1/1,98.77898
2012/2/1,99.12849
2012/3/1,99.2037
2012/4/1,99.00143
2012/5/1,98.62875
2012/6/1,98.48981
2012/7/1,98.40611
2012/8/1,98.31199
2012/9/1,98.16835
2012/10/1,97.99487
2012/11/1,97.88994
2012/12/1,97.91038
2013/1/1,98.12997
2013/2/1,98.49531
2013/3/1,98.65263
2013/4/1,98.75759
2013/5/1,98.8077
2013/6/1,98.67648
2013/7/1,98.37267
2013/8/1,98.12499
2013/9/1,98.00566
2013/10/1,98.13165
2013/11/1,98.45934
2013/12/1,98.64303
2014/1/1,98.61954
2014/2/1,98.64101
2014/3/1,98.63351
2014/4/1,98.67036
2014/5/1,98.71677
2014/6/1,98.68571
2014/7/1,98.71635
2014/8/1,98.80292
2014/9/1,98.76423
2014/10/1,98.77549
2014/11/1,98.75764
2014/12/1,98.76807
2015/1/1,98.78658
2015/2/1,98.65849
2015/3/1,98.50915
2015/4/1,98.36174
2015/5/1,98.22479
2015/6/1,98.23953
2015/7/1,98.26024
2015/8/1,98.3652
2015/9/1,98.65045
2015/10/1,98.87744
2015/11/1,98.83718
2015/12/1,98.78814
2016/1/1,98.72341
2016/2/1,98.58981
2016/3/1,98.5072
2016/4/1,98.26823
2016/5/1,98.03935
2016/6/1,97.99677
2016/7/1,98.18427
2016/8/1,98.67942
2016/9/1,99.26702
2016/10/1,99.48502
2016/11/1,99.70695
2016/12/1,100.0419
2017/1/1,100.2548
2017/2/1,100.3371
2017/3/1,100.4862
2017/4/1,100.695
2017/5/1,100.975
2017/6/1,101.1935
2017/7/1,101.3351
2017/8/1,101.4531
2017/9/1,101.6518
2017/10/1,101.9215
2017/11/1,102.2037
2017/12/1,102.3986
2018/1/1,102.3159
2018/2/1,102.0821
2018/3/1,101.8678
2018/4/1,101.8435
2006/9/1,100.5886
2006/10/1,100.5349
2006/11/1,100.5204
2006/12/1,100.5451
2007/1/1,100.5553
2007/2/1,100.6352
2007/3/1,100.7223
2007/4/1,100.8219
2007/5/1,100.8795
2007/6/1,100.8711
2007/7/1,100.7521
2007/8/1,100.6144
2007/9/1,100.5123
2007/10/1,100.4378
2007/11/1,100.3593
2007/12/1,100.2723
2008/1/1,100.2155
2008/2/1,100.091
2008/3/1,100.0013
2008/4/1,99.92203
2008/5/1,99.88339
2008/6/1,99.8195
2008/7/1,99.611
2008/8/1,99.17937
2008/9/1,98.45284
2008/10/1,97.6124
2008/11/1,96.86408
2008/12/1,96.30464
2009/1/1,96.03282
2009/2/1,95.87941
2009/3/1,95.91629
2009/4/1,96.22639
2009/5/1,96.66665
2009/6/1,97.14914
2009/7/1,97.67216
2009/8/1,98.17696
2009/9/1,98.5498
2009/10/1,98.86737
2009/11/1,99.10406
2009/12/1,99.38292
2010/1/1,99.73097
2010/2/1,100.0722
2010/3/1,100.4119
2010/4/1,100.595
2010/5/1,100.5996
2010/6/1,100.5212
2010/7/1,100.5323
2010/8/1,100.6228
2010/9/1,100.7776
2010/10/1,100.9899
2010/11/1,101.2086
2010/12/1,101.4165
2011/1/1,101.5648
2011/2/1,101.6348
2011/3/1,101.5783
2011/4/1,101.369
2011/5/1,101.0498
2011/6/1,100.8105
2011/7/1,100.5565
2011/8/1,100.3462
2011/9/1,100.1604
2011/10/1,100.022
2011/11/1,99.99088
2011/12/1,100.0492
2012/1/1,100.1452
2012/2/1,100.2241
2012/3/1,100.2227
2012/4/1,100.1235
2012/5/1,99.89323
2012/6/1,99.64992
2012/7/1,99.49064
2012/8/1,99.41066
2012/9/1,99.37027
2012/10/1,99.2896
2012/11/1,99.2555
2012/12/1,99.35677
2013/1/1,99.53044
2013/2/1,99.64312
2013/3/1,99.59341
2013/4/1,99.49852
2013/5/1,99.51665
2013/6/1,99.69605
2013/7/1,99.97259
2013/8/1,100.2621
2013/9/1,100.4803
2013/10/1,100.6229
2013/11/1,100.7199
2013/12/1,100.7145
